vehicle-id,time,x-coordinate,y-coordinate,speed,category
4c0c4745067197be22182d262b44f48a,1493859233,521373.72778,54875.785075,3.7,0,
6f2c7abf0fdf3c168d9187585871b22c,1493858992,521411.566353,54807.925159,6.9,1,
6f2c7abf0fdf3c168d9187585871b22c,1493858995,521410.453451,54785.602818,7.4,1,
6f2c7abf0fdf3c168d9187585871b22c,1493858998,521410.453451,54752.565753,11.0,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859001,521410.453451,54723.993157,9.5,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859004,521410.453451,54693.634774,10.1,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859007,521410.453451,54673.09822,6.9,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859010,521410.453451,54640.954049,10.7,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859013,521409.34055,54607.024091,11.3,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859016,521408.227649,54559.700728,15.8,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859019,521407.114748,54523.092089,12.2,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859022,521407.114748,54486.48345,12.2,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859025,521406.001847,54460.589535,8.6,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859028,521404.888946,54422.195108,13.1,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859031,521404.888946,54382.014895,13.1,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859034,521403.776045,54332.905745,16.7,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859037,521402.663144,54303.440255,9.8,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859040,521402.663144,54279.332127,7.7,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859043,521402.663144,54261.474254,6.0,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859046,521402.663144,54255.223998,0.0,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859049,521402.663144,54250.75953,1.5,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859052,521402.663144,54243.616381,0.0,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859055,521402.663144,54240.044807,1.2,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859058,521402.663144,54240.044807,0.0,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859061,521402.663144,54240.044807,0.0,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859064,521402.663144,54240.044807,0.0,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859067,521402.663144,54233.794551,0.0,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859070,521402.663144,54218.615359,5.1,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859074,521401.550244,54190.935657,7.1,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859077,521401.550244,54157.898592,11.0,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859080,521401.550244,54129.325996,9.2,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859083,521400.437344,54110.57523,6.5,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859086,521400.437344,54081.10974,9.5,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859089,521400.437344,54041.82242,13.1,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859092,521400.437344,54013.249823,9.5,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859095,521400.437344,53986.463014,8.9,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859098,521400.437344,53957.890418,9.5,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859101,521400.437344,53936.460971,7.1,1,
6f2c7abf0fdf3c168d9187585871b22c,1493859104,521401.550244,53902.531012,11.3,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853530,521726.523312,55080.257718,12.8,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853533,521689.796286,55057.042483,14.3,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853536,521657.521151,55036.50593,12.8,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853539,521623.020278,55016.86227,12.8,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853542,521588.519545,54999.004397,13.1,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853545,521557.357712,54977.57495,12.8,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853548,521529.534742,54959.717077,11.2,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853551,521510.615174,54948.10946,7.4,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853554,521501.711862,54941.859204,3.6,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853557,521500.598949,54940.966311,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853560,521498.373123,54940.073417,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853563,521498.373123,54940.073417,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853566,521498.373123,54940.073417,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853569,521498.373123,54940.073417,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853572,521498.373123,54940.073417,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853575,521498.373123,54940.073417,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853578,521498.373123,54940.073417,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853581,521498.373123,54940.073417,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853584,521498.373123,54939.180523,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853587,521497.26021,54939.180523,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853590,521497.26021,54939.180523,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853593,521497.26021,54939.180523,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853596,521497.26021,54939.180523,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853599,521495.034385,54937.394736,1.3,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853602,521485.018178,54930.251587,3.9,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853605,521464.9858,54916.858182,8.2,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853608,521443.840562,54905.250565,7.6,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853611,521422.695377,54893.642948,8.8,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853614,521399.324443,54885.606905,7.1,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493853617,521381.518061,54879.35665,6.2,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858553,521709.82919,55069.542994,12.6,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858556,521673.102235,55046.32776,14.6,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858559,521630.810786,55020.433844,16.1,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858562,521599.648799,55004.361759,11.7,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858565,521551.79311,54974.896269,18.6,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858568,521508.389345,54946.323672,17.5,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858571,521468.324526,54919.536863,16.1,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858574,521440.501845,54903.464778,10.6,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858577,521412.679255,54876.677969,11.9,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858580,521412.679255,54843.640904,11.7,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858583,521411.566353,54809.710946,11.3,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858586,521410.453451,54769.530733,13.4,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858583,521411.566353,54809.710946,11.3,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858586,521410.453451,54769.530733,13.4,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858589,521410.453451,54726.671838,14.3,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858592,521410.453451,54678.455582,16.1,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858595,521409.34055,54629.346432,16.4,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858598,521408.227649,54581.130175,16.1,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858601,521407.114748,54531.128132,16.7,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858604,521407.114748,54482.018982,16.5,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858607,521404.888946,54434.695619,15.8,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858610,521404.888946,54382.907788,17.3,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858613,521403.776045,54333.798638,16.4,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858616,521402.663144,54303.440255,10.1,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858619,521402.663144,54276.653446,9.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858622,521402.663144,54259.688467,5.7,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858625,521402.663144,54247.187956,4.2,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858628,521402.663144,54247.187956,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858631,521402.663144,54247.187956,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858634,521402.663144,54242.723488,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858637,521402.663144,54230.222977,4.2,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858640,521402.663144,54218.615359,3.9,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858643,521402.663144,54215.936679,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858646,521402.663144,54213.257998,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858649,521402.663144,54212.365104,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858652,521402.663144,54212.365104,0.0,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858655,521402.663144,54209.686423,0.9,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858658,521402.663144,54199.864593,3.3,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858661,521401.550244,54186.471189,4.5,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858664,521401.550244,54171.291997,5.1,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858670,521401.550244,54144.505188,4.5,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858673,521400.437344,54075.752378,22.9,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858676,521400.437344,54039.143739,12.2,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858679,521400.437344,53998.070631,13.7,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858682,521400.437344,53960.569099,12.8,1,
f3bc6bd1462edd25f7ae844143e8f65d,1493858685,521401.550244,53922.174672,12.8,1,
